"","catering  |  conference  |  hospitality","","","","","","","","","","","","","","","","","","","","","",""
"","Jacket of the Day - Cold","£3.25","£3.90","Grated Mature Cheddar","YES","","","","","","","","","","YES","","","","","","","",""
"","Whilst every effort has been made to ensure that the allergen information is correct and that accidental cross contamination does not occur, the University of Southampton cannot guarantee that food prepared on our premises or by our selected suppliers is done so in an entirely allergen-free environment.","","","","","","","","","","","","","","","","","","","","","",""
"","TERRACE","","","TIME  -  12:00pm - 2:00pm","","","","","","","","","","","","","","","","","","",""
"","Soup","£2.20","£2.70","","","","","","","","","","£1.95","£2.30","","","","","","","","",""
"","Main Meal","£2.75","£3.30","","","","","","","","£2.75","£3.30","","","","","","","","","","",""
"","Main Meal","£2.75","£3.30","","","","","","","","£2.75","£3.30","","","","","","","","","","",""
"","Main Meal","£2.75","£3.30","","","","","","","","£2.75","£3.30","","","","","","","","","","",""
"","Main Meal","£2.75","£3.30","","","","","","","","£2.75","£3.30","","","","","","","","","","",""
"","Madhuban Curry","","","","","","","","","","£5.00","£6.00","","","","","","","","","","",""
"","Madhuban Curry","","","","","","","","","","£5.00","£6.00","","","","","","","","","","",""
"","Chips","£1.50","£1.80","","","","","","","","","","","","","","","","","","","",""
"","Potato","£1.50","£1.80","","","","","","","","£1.10","£1.25","","","","","","","","","","",""
"","Vegetables","80p","£1.00","","","","","","","","","","","","","","","","","","","",""
"","Vegetables","80p","£1.00","","","","","","","","80p","£1.00","","","","","","","","","","",""
"","Pasta","£1.50","£1.80","","","","","","","","","","","","","","","","","","","",""
"","Rice","£1.50","£1.80","","","","","","","","£1.10","£1.25","","","","","","","","","","",""
"","Hot Dessert","£1.65","£2.00","","","","","","","","£1.65","£2.00","","","","","","","","","","",""
"","Cold Dessert","£1.65","£2.00","","","","","","","","","","","","","","","","","","","",""
"","Cold Dessert","£1.65","£2.00","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","ARLOTT LATTES ","","","TIME  -  12:00pm - 2:00pm","","","","","","","","","","","","","","","","","","",""
"","Soup","£3.00","£3.60","","","","","","","","","","","","","","","","","","","",""
"","Main Meal - with Rice","£5.00","£6.00","","","","","","","","","","","","","","","","","","","",""
"","Main Meal","£3.50","£4.20","","","","","","","","","","","","","","","","","","","",""
"","Main Meal","£3.50","£4.20","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
